,PMID,Publication Title,Authors,Publication Date,Journal,dbgap_accession,RADx Program,Study Name,Citations,IF,All PHS,Study Count
128,35445250,Neutralization of Severe Acute Respiratory Syndrome Coronavirus 2 Omicron and Other Variants in Serum From Children With Vaccination-Induced Myocarditis.,"Zahra FT, Grubbs G, Dummer K, Tremoulet AH, Shimizu C, Burns JC, Khurana S",2022 Oct 29,Clinical infectious diseases : an official publication of the Infectious Diseases Society of America,phs002553,RADx-rad,Characterization of Multisystem Inflammatory Syndrome in Children and Its Relationship to Kawasaki Disease,0,8.2,['phs002553'],1
129,35360001,Autoantibodies Against Proteins Previously Associated With Autoimmunity in Adult and Pediatric Patients With COVID-19 and Children With MIS-C.,"Burbelo PD, Castagnoli R, Shimizu C, Delmonte OM, Dobbs K, Discepolo V, Lo Vecchio A, Guarino A, Licciardi F, Ramenghi U, Rey-Jurado E, Vial C, Marseglia GL, Licari A, Montagna D, Rossi C, Montealegre Sanchez GA, Barron K, Warner BM, Chiorini JA, Espinosa Y, Noguera L, Dropulic L, Truong M, Gerstbacher D, MatÃ³ S, Kanegaye J, Tremoulet AH, Pediatric Emergency Medicine Kawasaki Group, Eisenstein EM, Su HC, Imberti L, Poli MC, Burns JC, Notarangelo LD, Cohen JI",2022,Frontiers in immunology,phs002553,RADx-rad,Characterization of Multisystem Inflammatory Syndrome in Children and Its Relationship to Kawasaki Disease,23,5.7,['phs002553'],1
130,35350199,"Autoantibody discovery across monogenic, acquired, and COVID19-associated autoimmunity with scalable PhIP-Seq.","Vazquez SE, Mann SA, Bodansky A, Kung AF, Quandt Z, FerrÃ© EMN, Landegren N, Eriksson D, Bastard P, Zhang SY, Liu J, Mitchell A, Mandel-Brehm C, Miao B, Sowa G, Zorn K, Chan AY, Shimizu C, Tremoulet A, Lynch K, Wilson MR, Kampe O, Dobbs K, Delmonte OM, Notarangelo LD, Burns JC, Casanova JL, Lionakis MS, Torgerson TR, Anderson MS, DeRisi JL",2022 Mar 24,bioRxiv : the preprint server for biology,phs002553,RADx-rad,Characterization of Multisystem Inflammatory Syndrome in Children and Its Relationship to Kawasaki Disease,1,,['phs002553'],1
131,34599760,Characterization of SARS-CoV-2 and common cold coronavirus-specific T-cell responses in MIS-C and Kawasaki disease children.,"Hsieh LE, Grifoni A, Sidney J, Shimizu C, Shike H, Ramchandar N, Moreno E, Tremoulet AH, Burns JC, Franco A",2022 Jan,European journal of immunology,phs002553,RADx-rad,Characterization of Multisystem Inflammatory Syndrome in Children and Its Relationship to Kawasaki Disease,15,4.5,['phs002553'],1
132,34464357,Immune response to intravenous immunoglobulin in patients with Kawasaki disease and MIS-C.,"Zhu YP, Shamie I, Lee JC, Nowell CJ, Peng W, Angulo S, Le LN, Liu Y, Miao H, Xiong H, Pena CJ, Moreno E, Griffis E, Labou SG, Franco A, Broderick L, Hoffman HM, Shimizu C, Lewis NE, Kanegaye JT, Tremoulet AH, Burns JC, Croker BA, Pediatric Emergency Medicine Kawasaki Disease Research Group Consortium",2021 Oct 15,The Journal of clinical investigation,phs002553,RADx-rad,Characterization of Multisystem Inflammatory Syndrome in Children and Its Relationship to Kawasaki Disease,39,13.3,['phs002553'],1
133,37421280,Adenosine A(2A) Receptor Regulates microRNA-181b Expression in Aorta: Therapeutic Implications for Large-Artery Stiffness.,"Akiyoshi K, Fujimori T, Fu X, Shah AP, Yamaguchi A, Steenbergen C, Santhanam L, Berkowitz D, Tuday E, Baraban JM, Das S",2023 Jul 18,Journal of the American Heart Association,phs002563,RADx-rad,A Handheld Microchip for GC Analysis of Breath to Screen for COVID-19,1,5.0,['phs002563'],1
134,36815760,Analysis of a Broad Range of Carbonyl Metabolites in Exhaled Breath by UHPLC-MS.,"Xie Z, Morris JD, Mattingly SJ, Sutaria SR, Huang J, Nantz MH, Fu XA",2023 Mar 7,Analytical chemistry,phs002563,RADx-rad,A Handheld Microchip for GC Analysis of Breath to Screen for COVID-19,12,6.7,['phs002563'],1
135,34304585,Degradation of Premature-miR-181b by the Translin/Trax RNase Increases Vascular Smooth Muscle Cell Stiffness.,"Tuday E, Nakano M, Akiyoshi K, Fu X, Shah AP, Yamaguchi A, Steenbergen C, Santhanam L, An SS, Berkowitz D, Baraban JM, Das S",2021 Sep,"Hypertension (Dallas, Tex. : 1979)",phs002563,RADx-rad,A Handheld Microchip for GC Analysis of Breath to Screen for COVID-19,40,6.9,['phs002563'],1
136,37206388,Aptamers 101: aptamer discovery and in vitro applications in biosensors and separations.,"Yang LF, Ling M, Kacherovsky N, Pun SH",2023 May 17,Chemical science,phs002565,RADx-rad,"Touchscreen-Compatible, Real-Time Electrochemical Sensing of SARS-CoV-2",47,7.6,['phs002565'],1
137,35972202,SCORe: SARS-CoV-2 Omicron Variant RBD-Binding DNA Aptamer for Multiplexed Rapid Detection and Pseudovirus Neutralization.,"Yang LF, Kacherovsky N, Liang J, Salipante SJ, Pun SH",2022 Sep 20,Analytical chemistry,phs002565,RADx-rad,"Touchscreen-Compatible, Real-Time Electrochemical Sensing of SARS-CoV-2",16,6.7,['phs002565'],1
138,35532905,Aptamer Sandwich Lateral Flow Assay (AptaFlow) for Antibody-Free SARS-CoV-2 Detection.,"Yang LF, Kacherovsky N, Panpradist N, Wan R, Liang J, Zhang B, Salipante SJ, Lutz BR, Pun SH",2022 May 24,Analytical chemistry,phs002565,RADx-rad,"Touchscreen-Compatible, Real-Time Electrochemical Sensing of SARS-CoV-2",38,6.7,['phs002565'],1
139,34328683,Discovery and Characterization of Spike N-Terminal Domain-Binding Aptamers for Rapid SARS-CoV-2 Detection.,"Kacherovsky N, Yang LF, Dang HV, Cheng EL, Cardle II, Walls AC, McCallum M, Sellers DL, DiMaio F, Salipante SJ, Corti D, Veesler D, Pun SH",2021 Sep 20,Angewandte Chemie (International ed. in English),phs002565,RADx-rad,"Touchscreen-Compatible, Real-Time Electrochemical Sensing of SARS-CoV-2",61,16.1,['phs002565'],1
140,37690792,Overview of global real-world data sources for pediatric pharmacoepidemiologic research.,"Wharton GT, Becker C, Bennett D, Burcu M, Bushnell G, Ferrajolo C, Kaplan S, McMahon AW, Movva N, Raman SR, Scholle O, Suh M, Sun JW, Horton DB",2024 Jan,Pharmacoepidemiology and drug safety,phs002569,RADx-rad,COVID-19 Network of Networks Expanding Clinical and Translational Approaches to Predict Severe Illness in Children (CONNECT to Predict SIck Children),1,2.4,['phs002569'],1
141,37798830,Impact of the COVID-19 Pandemic on the Management of Juvenile Idiopathic Arthritis: Analysis of United States Commercial Insurance Data.,"Horton DB, Yang Y, Neikirk A, Huang C, Crystal S, Davidow A, Haynes K, Gerhard T, Rose CD, Strom BL, Parlett L",2023 Dec 1,Journal of clinical rheumatology : practical reports on rheumatic & musculoskeletal diseases,phs002569,RADx-rad,COVID-19 Network of Networks Expanding Clinical and Translational Approaches to Predict Severe Illness in Children (CONNECT to Predict SIck Children),1,2.4,['phs002569'],1
142,37487417,Saliva microbiome in relation to SARS-CoV-2 infection in a prospective cohort of healthy US adults.,"Armstrong AJS, Horton DB, Andrews T, Greenberg P, Roy J, Gennaro ML, Carson JL, Panettieri RA, Barrett ES, Blaser MJ",2023 Aug,EBioMedicine,phs002569,RADx-rad,COVID-19 Network of Networks Expanding Clinical and Translational Approaches to Predict Severe Illness in Children (CONNECT to Predict SIck Children),5,9.7,['phs002569'],1
143,36751905,Geographic Trends in Pediatric Psychotropic Medication Dispensing Before and After the Start of the COVID-19 Pandemic.,"Bushnell G, Sun JW, dosReis S, Camelo Castillo W, Czaja AS, Durrieu G, Gerhard T, Lee H, Kaguelidou F, Pudasainee-Kapri S, Raman SR, Spence O, Horton DB",2023 Aug 1,"Psychiatric services (Washington, D.C.)",phs002569,RADx-rad,COVID-19 Network of Networks Expanding Clinical and Translational Approaches to Predict Severe Illness in Children (CONNECT to Predict SIck Children),4,3.3,['phs002569'],1
144,35230433,Equity and the Hazard of Veiled Injustice: A Methodological Reflection on Risk Adjustment.,"Kleinman LC, Howell EA",2022 Mar 1,Pediatrics,phs002569,RADx-rad,COVID-19 Network of Networks Expanding Clinical and Translational Approaches to Predict Severe Illness in Children (CONNECT to Predict SIck Children),5,6.2,['phs002569'],1
145,35073931,Dichotomy between the humoral and cellular responses elicited by mRNA and adenoviral vector vaccines against SARS-CoV-2.,"Ukey R, Bruiners N, Mishra H, Mishra PK, McCloskey D, Onyuka A, Chen F, Pinter A, Weiskopf D, Sette A, Roy J, Gaur S, Gennaro ML",2022 Jan 25,BMC medicine,phs002569,RADx-rad,COVID-19 Network of Networks Expanding Clinical and Translational Approaches to Predict Severe Illness in Children (CONNECT to Predict SIck Children),5,7.0,['phs002569'],1
146,34634317,Highly versatile antibody binding assay for the detection of SARS-CoV-2 infection and vaccination.,"Datta P, Ukey R, Bruiners N, Honnen W, Carayannopoulos MO, Reichman C, Choudhary A, Onyuka A, Handler D, Guerrini V, Mishra PK, Dewald HK, Lardizabal A, Lederer L, Leiser AL, Hussain S, Jagpal SK, Radbel J, Bhowmick T, Horton DB, Barrett ES, Xie YL, Fitzgerald-Bocarsly P, Weiss SH, Woortman M, Parmar H, Roy J, Dominguez-Bello MG, Blaser MJ, Carson JL, Panettieri RA Jr, Libutti SK, Raymond HF, Pinter A, Gennaro ML",2021 Dec,Journal of immunological methods,phs002569,RADx-rad,COVID-19 Network of Networks Expanding Clinical and Translational Approaches to Predict Severe Illness in Children (CONNECT to Predict SIck Children),4,1.6,['phs002569'],1
147,34387310,Determinants and Dynamics of SARS-CoV-2 Infection in a Diverse Population: 6-Month Evaluation of a Prospective Cohort Study.,"Horton DB, Barrett ES, Roy J, Gennaro ML, Andrews T, Greenberg P, Bruiners N, Datta P, Ukey R, Velusamy SK, Fine D, Honnen WJ, Yin YS, Pinter A, Brooks A, Tischfield J, Hussain S, Jagpal S, Swaminathan S, Parmar V, Reilly N, Gaur S, Panettieri RA, Carson JL, Blaser MJ",2021 Oct 28,The Journal of infectious diseases,phs002569,RADx-rad,COVID-19 Network of Networks Expanding Clinical and Translational Approaches to Predict Severe Illness in Children (CONNECT to Predict SIck Children),24,5.0,['phs002569'],1
148,37264756,Self-Assembly of DNA Nanostructures in Different Cations.,"Rodriguez A, Gandavadi D, Mathivanan J, Song T, Madhanagopal BR, Talbot H, Sheng J, Wang X, Chandrasekaran AR",2023 Sep,"Small (Weinheim an der Bergstrasse, Germany)",phs002573,RADx-rad,Detection and Automatic Privacy-Protected Contact Tracing System Designed for COVID-19,11,13.0,['phs002573'],1
149,36832064,Review of HIV Self Testing Technologies and Promising Approaches for the Next Generation.,"Bacon A, Wang W, Lee H, Umrao S, Sinawang PD, Akin D, Khemtonglang K, Tan A, Hirshfield S, Demirci U, Wang X, Cunningham BT",2023 Feb 20,Biosensors,phs002573,RADx-rad,Detection and Automatic Privacy-Protected Contact Tracing System Designed for COVID-19,11,4.9,['phs002573'],1
150,35220716,Aptamers for Viral Detection and Inhibition.,"Chakraborty B, Das S, Gupta A, Xiong Y, T-V V, Kizer ME, Duan J, Chandrasekaran AR, Wang X",2022 Apr 8,ACS infectious diseases,phs002573,RADx-rad,Detection and Automatic Privacy-Protected Contact Tracing System Designed for COVID-19,22,4.0,['phs002573'],1
151,35013618,Designer DNA nanostructures for viral inhibition.,"Ren S, Fraser K, Kuo L, Chauhan N, Adrian AT, Zhang F, Linhardt RJ, Kwon PS, Wang X",2022 Feb,Nature protocols,phs002573,RADx-rad,Detection and Automatic Privacy-Protected Contact Tracing System Designed for COVID-19,17,13.1,['phs002573'],1
152,34840515,"Overcoming the limitations of COVID-19 diagnostics with nanostructures, nucleic acid engineering, and additive manufacturing.","Li N, Zhao B, Stavins R, Peinetti AS, Chauhan N, Bashir R, Cunningham BT, King WP, Lu Y, Wang X, Valera E",2022 Feb,Current opinion in solid state & materials science,phs002573,RADx-rad,Detection and Automatic Privacy-Protected Contact Tracing System Designed for COVID-19,12,12.2,['phs002573'],1
153,34433933,Nanocages for virus inhibition.,"Chauhan N, Wang X",2021 Sep,Nature materials,phs002573,RADx-rad,Detection and Automatic Privacy-Protected Contact Tracing System Designed for COVID-19,6,37.2,['phs002573'],1
154,34281959,Testing of Worn Face Masks for Timely Diagnosis of SARS-CoV-2 in Hemodialysis Patients.,"Wang X, Grobe N, Haq Z, Thwin O, Fuentes LR, Maddux D, Kotanko P",2021 Nov,Journal of the American Society of Nephrology : JASN,phs002573,RADx-rad,Detection and Automatic Privacy-Protected Contact Tracing System Designed for COVID-19,3,10.3,['phs002573'],1
155,37685502,Stratification of Pediatric COVID-19 Cases Using Inflammatory Biomarker Profiling and Machine Learning.,"Subramanian D, Vittala A, Chen X, Julien C, Acosta S, Rusin C, Allen C, Rider N, Starosolski Z, Annapragada A, Devaraj S",2023 Aug 22,Journal of clinical medicine,phs002585,RADx-rad,AICORE-kids: Artificial Intelligence COVID-19 Risk AssEssment for kids,0,3.0,['phs002585'],1
156,36326636,Convalescent plasma in hospitalized pediatric and obstetric coronavirus disease 2019 (COVID-19) patients.,"Ikeda S, Benzi E, Hensch LA, Devaraj S, Hui SR, Gandhi M, Fox KA, Teruya J, Munoz FM",2022 Jan,Pediatrics international : official journal of the Japan Pediatric Society,phs002585,RADx-rad,AICORE-kids: Artificial Intelligence COVID-19 Risk AssEssment for kids,2,1.0,['phs002585'],1
157,35568731,Physiologic profile associated with severe multisystem inflammatory syndrome in children: a retrospective study.,"Savorgnan F, Moreira A, Moreira A, Annapragada A, Sexson Tejtel SK, Flores S, Rusin CG, Shekerdemian L, Acosta S",2023 Jan,Pediatric research,phs002585,RADx-rad,AICORE-kids: Artificial Intelligence COVID-19 Risk AssEssment for kids,2,3.1,['phs002585'],1
158,35439401,Misleading nomenclature of units of WHO materials used for standardization of SARS COv-2 serology.,"Hansen YBL, Furuta K, Devaraj S, Yilmaz FM, Nordin G",2022 Jun 27,Clinical chemistry and laboratory medicine,phs002585,RADx-rad,AICORE-kids: Artificial Intelligence COVID-19 Risk AssEssment for kids,3,3.8,['phs002585'],1
159,34977312,SARSCoV-2 serostatus amongst vaccinated employees at a pediatric hospital system.,"Devaraj S, Poventud-Fuentes I, Girotto M, Monroe J, Boom J, Delclos G, Versalovic J",2022 Jan,Practical laboratory medicine,phs002585,RADx-rad,AICORE-kids: Artificial Intelligence COVID-19 Risk AssEssment for kids,1,1.7,['phs002585'],1
160,34911654,SARS-CoV-2 anti-spike antibodies after vaccination in pediatric heart transplantation: A first report.,"Spinner JA, Julien CL, Olayinka L, Dreyer WJ, Bocchini CE, Munoz FM, Devaraj S",2022 Feb,The Journal of heart and lung transplantation : the official publication of the International Society for Heart Transplantation,phs002585,RADx-rad,AICORE-kids: Artificial Intelligence COVID-19 Risk AssEssment for kids,9,6.4,['phs002585'],1
161,34560062,Analytical and clinical performance of cPass neutralizing antibodies assay.,"Jung J, Rajapakshe D, Julien C, Devaraj S",2021 Dec,Clinical biochemistry,phs002585,RADx-rad,AICORE-kids: Artificial Intelligence COVID-19 Risk AssEssment for kids,6,2.5,['phs002585'],1
162,34022420,Population stratification enables modeling effects of reopening policies on mortality and hospitalization rates.,"Huang T, Chu Y, Shams S, Kim Y, Annapragada AV, Subramanian D, Kakadiaris I, Gottlieb A, Jiang X",2021 Jul,Journal of biomedical informatics,phs002585,RADx-rad,AICORE-kids: Artificial Intelligence COVID-19 Risk AssEssment for kids,5,4.0,['phs002585'],1
163,37216348,Active sampling of volatile chemicals for non-invasive classification of chicken eggs by sex early in incubation.,"Borras E, Wang Y, Shah P, Bellido K, Hamera KL, Arlen RA, McCartney MM, Portillo K, Zhou H, Davis CE, Turpen TH",2023,PloS one,phs002600,RADx-rad,Portable GC Detector for COVID Diagnostics,6,2.9,['phs002600'],1
164,37207635,Exhaled breath condensate profiles of U.S. Navy divers following prolonged hyperbaric oxygen (HBO) and nitrogen-oxygen (Nitrox) chamber exposures.,"Fothergill DM, Borras E, McCartney MM, Schelegle ES, Davis CE",2023 Jun 12,Journal of breath research,phs002600,RADx-rad,Portable GC Detector for COVID Diagnostics,3,3.7,['phs002600'],1
165,36482179,Predominant SARS-CoV-2 variant impacts accuracy when screening for infection using exhaled breath vapor.,"McCartney MM, Borras E, Rojas DE, Hicks TL, Hamera KL, Tran NK, Tham T, Juarez MM, Lopez E, Kenyon NJ, Davis CE",2022 Dec 8,Communications medicine,phs002600,RADx-rad,Portable GC Detector for COVID Diagnostics,11,5.4,['phs002600'],1
166,36363914,"Glass-to-Glass Fusion Bonding Quality and Strength Evaluation with Time, Applied Force, and Heat.","Trinh NN, Simms LA, Chew BS, Weinstein A, La Saponara V, McCartney MM, Kenyon NJ, Davis CE",2022 Nov 2,Micromachines,phs002600,RADx-rad,Portable GC Detector for COVID Diagnostics,3,3.0,['phs002600'],1
167,35968834,Machine learning and signal processing assisted differential mobility spectrometry (DMS) data analysis for chemical identification.,"Chakraborty P, Rajapakse MY, McCartney MM, Kenyon NJ, Davis CE",2022 Sep 1,Analytical methods : advancing methods and applications,phs002600,RADx-rad,Portable GC Detector for COVID Diagnostics,4,2.7,['phs002600'],1
168,35508102,"A low cost, easy-to-assemble, open-source modular mobile sampler design for thermal desorption analysis of breath and environmental VOCs.","Chew BS, Pimentel Contreras R, McCartney MM, Borras E, Kenyon NJ, Davis CE",2022 May 26,Journal of breath research,phs002600,RADx-rad,Portable GC Detector for COVID Diagnostics,5,3.7,['phs002600'],1
169,34852327,Inactivation of SARS-CoV-2 in clinical exhaled breath condensate samples for metabolomic analysis.,"Hu S, McCartney MM, Arredondo J, Sankaran-Walters S, Borras E, Harper RW, Schivo M, Davis CE, Kenyon NJ, Dandekar S",2021 Dec 20,Journal of breath research,phs002600,RADx-rad,Portable GC Detector for COVID Diagnostics,6,3.7,['phs002600'],1
170,34663766,"IABR Symposium 2021 meeting report: breath standardization, sampling, and testing in a time of COVID-19.","Schmidt AJ, Salman D, Pleil J, Thomas CLP, Davis CE",2021 Nov 8,Journal of breath research,phs002600,RADx-rad,Portable GC Detector for COVID Diagnostics,7,3.7,['phs002600'],1
171,33858010,Predicting Influenza and Rhinovirus Infections in Airway Cells Utilizing Volatile Emissions.,"McCartney MM, Linderholm AL, Yamaguchi MS, Falcon AK, Harper RW, Thompson GR, Ebeler SE, Kenyon NJ, Davis CE, Schivo M",2021 Nov 22,The Journal of infectious diseases,phs002600,RADx-rad,Portable GC Detector for COVID Diagnostics,6,5.0,['phs002600'],1
172,33616417,Analysis of Volatile Profiles for Tracking Asymptomatic Infections of Phytophthora ramorum and Other Pathogens in Rhododendron.,"Thompson CH, McCartney MM, Roubtsova TV, Kasuga T, Ebeler SE, Davis CE, Bostock RM",2021 Oct,Phytopathology,phs002600,RADx-rad,Portable GC Detector for COVID Diagnostics,6,2.6,['phs002600'],1
173,37207635,Exhaled breath condensate profiles of U.S. Navy divers following prolonged hyperbaric oxygen (HBO) and nitrogen-oxygen (Nitrox) chamber exposures.,"Fothergill DM, Borras E, McCartney MM, Schelegle ES, Davis CE",2023 Jun 12,Journal of breath research,phs002600,RADx-rad,Portable GC Detector for COVID Diagnostics,3,3.7,['phs002600'],1
174,36482179,Predominant SARS-CoV-2 variant impacts accuracy when screening for infection using exhaled breath vapor.,"McCartney MM, Borras E, Rojas DE, Hicks TL, Hamera KL, Tran NK, Tham T, Juarez MM, Lopez E, Kenyon NJ, Davis CE",2022 Dec 8,Communications medicine,phs002600,RADx-rad,Portable GC Detector for COVID Diagnostics,11,5.4,['phs002600'],1
175,36363914,"Glass-to-Glass Fusion Bonding Quality and Strength Evaluation with Time, Applied Force, and Heat.","Trinh NN, Simms LA, Chew BS, Weinstein A, La Saponara V, McCartney MM, Kenyon NJ, Davis CE",2022 Nov 2,Micromachines,phs002600,RADx-rad,Portable GC Detector for COVID Diagnostics,3,3.0,['phs002600'],1
176,35968834,Machine learning and signal processing assisted differential mobility spectrometry (DMS) data analysis for chemical identification.,"Chakraborty P, Rajapakse MY, McCartney MM, Kenyon NJ, Davis CE",2022 Sep 1,Analytical methods : advancing methods and applications,phs002600,RADx-rad,Portable GC Detector for COVID Diagnostics,4,2.7,['phs002600'],1
177,35508102,"A low cost, easy-to-assemble, open-source modular mobile sampler design for thermal desorption analysis of breath and environmental VOCs.","Chew BS, Pimentel Contreras R, McCartney MM, Borras E, Kenyon NJ, Davis CE",2022 May 26,Journal of breath research,phs002600,RADx-rad,Portable GC Detector for COVID Diagnostics,5,3.7,['phs002600'],1
178,34852327,Inactivation of SARS-CoV-2 in clinical exhaled breath condensate samples for metabolomic analysis.,"Hu S, McCartney MM, Arredondo J, Sankaran-Walters S, Borras E, Harper RW, Schivo M, Davis CE, Kenyon NJ, Dandekar S",2021 Dec 20,Journal of breath research,phs002600,RADx-rad,Portable GC Detector for COVID Diagnostics,6,3.7,['phs002600'],1
179,34663766,"IABR Symposium 2021 meeting report: breath standardization, sampling, and testing in a time of COVID-19.","Schmidt AJ, Salman D, Pleil J, Thomas CLP, Davis CE",2021 Nov 8,Journal of breath research,phs002600,RADx-rad,Portable GC Detector for COVID Diagnostics,7,3.7,['phs002600'],1
180,33858010,Predicting Influenza and Rhinovirus Infections in Airway Cells Utilizing Volatile Emissions.,"McCartney MM, Linderholm AL, Yamaguchi MS, Falcon AK, Harper RW, Thompson GR, Ebeler SE, Kenyon NJ, Davis CE, Schivo M",2021 Nov 22,The Journal of infectious diseases,phs002600,RADx-rad,Portable GC Detector for COVID Diagnostics,6,5.0,['phs002600'],1
181,33616417,Analysis of Volatile Profiles for Tracking Asymptomatic Infections of Phytophthora ramorum and Other Pathogens in Rhododendron.,"Thompson CH, McCartney MM, Roubtsova TV, Kasuga T, Ebeler SE, Davis CE, Bostock RM",2021 Oct,Phytopathology,phs002600,RADx-rad,Portable GC Detector for COVID Diagnostics,6,2.6,['phs002600'],1
182,35582905,Partial ORF1ab Gene Target Failure with Omicron BA.2.12.1.,"Rodino KG, Peaper DR, Kelly BJ, Bushman F, Marques A, Adhikari H, Tu ZJ, Marrero Rolon R, Westblade LF, Green DA, Berry GJ, Wu F, Annavajhala MK, Uhlemann AC, Parikh BA, McMillen T, Jani K, Babady NE, Hahn AM, Koch RT, Grubaugh ND, Yale SARS-CoV-2 Genomic Surveillance Initiative, Rhoads DD",2022 Jun 15,Journal of clinical microbiology,phs002604,RADx-rad,Tracking the COVID-19 Epidemic in Sewage (TRACES),10,6.1,['phs002604'],1
183,34428777,Emergence and expansion of SARS-CoV-2 B.1.526 after identification in New York.,"Annavajhala MK, Mohri H, Wang P, Nair M, Zucker JE, Sheng Z, Gomez-Simmonds A, Kelley AL, Tagliavia M, Huang Y, Bedford T, Ho DD, Uhlemann AC",2021 Sep,Nature,phs002604,RADx-rad,Tracking the COVID-19 Epidemic in Sewage (TRACES),91,50.5,['phs002604'],1
184,33655278,Emergence and Expansion of the SARS-CoV-2 Variant B.1.526 Identified in New York.,"Annavajhala MK, Mohri H, Wang P, Nair M, Zucker JE, Sheng Z, Gomez-Simmonds A, Kelley AL, Tagliavia M, Huang Y, Bedford T, Ho DD, Uhlemann AC",2021 Aug 4,medRxiv : the preprint server for health sciences,phs002604,RADx-rad,Tracking the COVID-19 Epidemic in Sewage (TRACES),102,,['phs002604'],1
185,37064248,Development of a biomarker signature using grating-coupled fluorescence plasmonic microarray for diagnosis of MIS-C.,"Maltz-Matyschsyk M, Melchiorre CK, Herbst KW, Hogan AH, Dibble K, O'Sullivan B, Graf J, Jadhav A, Lawrence DA, Lee WT, Carson KJ, Radolf JD, Salazar JC, Lynes MA, Connecticut Childrenâ€™s COVID Collaborative",2023,Frontiers in bioengineering and biotechnology,phs002609,RADx-rad,Identifying Biomarker Signatures of Prognostic Value for Multisystem Inflammatory Syndrome in Children (MIS-C),3,4.3,['phs002609'],1
186,35963365,"Durability of Immunity Is Low Against Severe Acute Respiratory Syndrome Coronavirus 2 Omicron BA.1, BA.2, and BA.3 Variants After Second and Third Vaccinations in Children and Young Adults With Inflammatory Bowel Disease Receiving Biologics.","Bellusci L, Zahra FT, Hopkins DE, Salazar JC, Hyams JS, Khurana S",2022 Dec,Gastroenterology,phs002609,RADx-rad,Identifying Biomarker Signatures of Prognostic Value for Multisystem Inflammatory Syndrome in Children (MIS-C),1,25.7,['phs002609'],1
187,34528661,Antibody Responses to SARS-CoV-2 After Infection or Vaccination in Children and Young Adults With Inflammatory Bowel Disease.,"Dailey J, Kozhaya L, Dogan M, Hopkins D, Lapin B, Herbst K, Brimacombe M, Grandonico K, Karabacak F, Schreiber J, Liang BT, Salazar JC, Unutmaz D, Hyams JS",2022 Jul 1,Inflammatory bowel diseases,phs002609,RADx-rad,Identifying Biomarker Signatures of Prognostic Value for Multisystem Inflammatory Syndrome in Children (MIS-C),24,4.5,['phs002609'],1
188,34382611,Kawasaki Disease Hospitalizations in the United States 2016-2020: A Comparison of Before and During the Coronavirus Disease 2019 Era.,"Phamduy TT, Smith S, Herbst KW, Phamduy PT, Brimacombe M, Hogan AH, Salazar JC, Sturm J",2021 Nov 1,The Pediatric infectious disease journal,phs002609,RADx-rad,Identifying Biomarker Signatures of Prognostic Value for Multisystem Inflammatory Syndrome in Children (MIS-C),13,0.2,['phs002609'],1
189,33491195,COVIDâ€19 as an occupational disease,"Carlsten C, Gulati M, Hines S, Rose C, Scott K, Tarlo SM, TorÃ©n K, Sood A, de la Hoz RE",2021 Jan 24,American Journal of Industrial Medicine,phs002648,RADx-UP,Keeping Rural Minority 'Essential' Workplaces Open Safely During the COVID-19 Pandemic: The Role of Frequent Point-of-Care Molecular Workplace Surveillance for Miners (The Miners' Pandemic Project),95,2.7,['phs002648'],1
190,34737180,School-Academic Partnerships in Support of Safe Return to Schools During the COVID-19 Pandemic.,"D'Agostino EM, Haroz EE, Linde S, Layer M, Green M, Ko LK",2022 Feb 1,Pediatrics,phs002740,RADx-UP,"Support for Safe Return to In-Person School: COVID-19 Testing, Learning, and Consultation",5,6.2,"['phs002904', 'phs002759', 'phs002947', 'phs003127', 'phs002800', 'phs002740', 'phs002870']",7
191,34548954,Home-Based Physiological Monitoring of Patients with COVID-19,"Warrier A, Sood A",2021 Sep 3,Southwest journal of pulmonary & critical care,phs002648,RADx-UP,Keeping Rural Minority 'Essential' Workplaces Open Safely During the COVID-19 Pandemic: The Role of Frequent Point-of-Care Molecular Workplace Surveillance for Miners (The Miners' Pandemic Project),1,,['phs002648'],1
192,33577743,Strengthening Digital Health Technology Capacity in Navajo Communities to Help Counter the COVID-19 Pandemic,"Begay M, Kakol M, Sood A, Upson D",2021 Mar 30,Annals of the American Thoracic Society,phs002648,RADx-UP,Keeping Rural Minority 'Essential' Workplaces Open Safely During the COVID-19 Pandemic: The Role of Frequent Point-of-Care Molecular Workplace Surveillance for Miners (The Miners' Pandemic Project),9,6.8,['phs002648'],1
193,37771511,Time-to-Event Analysis with Unknown Time Origins via Longitudinal Biomarker Registration.,"Wang T, Ratcliffe SJ, Guo W",2023,Journal of the American Statistical Association,phs002657,RADx-rad,"Early Detection, Containment, and Management of COVID-19 in Dialysis Facilities Using Multi-Modal Data Sources",1,3.0,['phs002657'],1
194,37588769,Estimating Time-Varying Treatment Switching Effect Using Accelerated Failure Time Model with Application to Vascular Access for Hemodialysis.,"Chu FI, Wang Y",2023,Communications in statistics: theory and methods,phs002657,RADx-rad,"Early Detection, Containment, and Management of COVID-19 in Dialysis Facilities Using Multi-Modal Data Sources",0,0.6,['phs002657'],1
195,36594047,Estimation and model selection for nonparametric function-on-function regression.,"Wang Z, Dong H, Ma P, Wang Y",2022,"Journal of computational and graphical statistics : a joint publication of American Statistical Association, Institute of Mathematical Statistics, Interface Foundation of North America",phs002657,RADx-rad,"Early Detection, Containment, and Management of COVID-19 in Dialysis Facilities Using Multi-Modal Data Sources",2,1.4,['phs002657'],1
